cutoff_date,ID,variable_to_test,end_modified,end_true
75,VA-2019-11-2019,y,1,1
75,VA-2019-11-2019,julian_day,3,1
75,VA-2019-11-2019,log_mean_dist_7,4,1
75,VA-2019-11-2019,residence_time,4,1
75,VA-2019-11-2019,dist_start,1,1
75,VA-2019-11-2019,breeding_abundance,4,1
75,NC-2021-25-2021,y,1,1
75,NC-2021-25-2021,julian_day,1,1
75,NC-2021-25-2021,log_mean_dist_7,1,1
75,NC-2021-25-2021,residence_time,1,1
75,NC-2021-25-2021,dist_start,1,1
75,NC-2021-25-2021,breeding_abundance,3,1
75,MD-2020-10-2020,y,3,1
75,MD-2020-10-2020,julian_day,3,1
75,MD-2020-10-2020,log_mean_dist_7,3,1
75,MD-2020-10-2020,residence_time,3,1
75,MD-2020-10-2020,dist_start,1,1
75,MD-2020-10-2020,breeding_abundance,3,1
75,GA-2021-14-2021,y,3,3
75,GA-2021-14-2021,julian_day,3,3
75,GA-2021-14-2021,log_mean_dist_7,3,3
75,GA-2021-14-2021,residence_time,3,3
75,GA-2021-14-2021,dist_start,5,3
75,GA-2021-14-2021,breeding_abundance,5,3
75,NJ-2018-05-2019,y,5,3
75,NJ-2018-05-2019,julian_day,5,3
75,NJ-2018-05-2019,log_mean_dist_7,5,3
75,NJ-2018-05-2019,residence_time,5,3
75,NJ-2018-05-2019,dist_start,5,3
75,NJ-2018-05-2019,breeding_abundance,5,3
75,AL-2020-04-2020,y,5,5
75,AL-2020-04-2020,julian_day,5,5
75,AL-2020-04-2020,log_mean_dist_7,5,5
75,AL-2020-04-2020,residence_time,5,5
75,AL-2020-04-2020,dist_start,5,5
75,AL-2020-04-2020,breeding_abundance,5,5
75,NC-2020-13-2020,y,3,3
75,NC-2020-13-2020,julian_day,3,3
75,NC-2020-13-2020,log_mean_dist_7,3,3
75,NC-2020-13-2020,residence_time,3,3
75,NC-2020-13-2020,dist_start,3,3
75,NC-2020-13-2020,breeding_abundance,3,3
75,SC-2021-22-2021,y,4,3
75,SC-2021-22-2021,julian_day,3,3
75,SC-2021-22-2021,log_mean_dist_7,4,3
75,SC-2021-22-2021,residence_time,3,3
75,SC-2021-22-2021,dist_start,4,3
75,SC-2021-22-2021,breeding_abundance,4,3
75,AL-2021-09-2021,y,3,3
75,AL-2021-09-2021,julian_day,3,3
75,AL-2021-09-2021,log_mean_dist_7,5,3
75,AL-2021-09-2021,residence_time,3,3
75,AL-2021-09-2021,dist_start,5,3
75,AL-2021-09-2021,breeding_abundance,5,3
75,MD-2021-22-2021,y,5,5
75,MD-2021-22-2021,julian_day,3,5
75,MD-2021-22-2021,log_mean_dist_7,5,5
75,MD-2021-22-2021,residence_time,5,5
75,MD-2021-22-2021,dist_start,5,5
75,MD-2021-22-2021,breeding_abundance,5,5
75,GA-2021-13-2021,y,3,3
75,GA-2021-13-2021,julian_day,3,3
75,GA-2021-13-2021,log_mean_dist_7,4,3
75,GA-2021-13-2021,residence_time,3,3
75,GA-2021-13-2021,dist_start,4,3
75,GA-2021-13-2021,breeding_abundance,3,3
75,NJ-2019-18-2020,y,4,3
75,NJ-2019-18-2020,julian_day,3,3
75,NJ-2019-18-2020,log_mean_dist_7,4,3
75,NJ-2019-18-2020,residence_time,3,3
75,NJ-2019-18-2020,dist_start,4,3
75,NJ-2019-18-2020,breeding_abundance,4,3
75,AL-2022-16-2022,y,5,3
75,AL-2022-16-2022,julian_day,5,3
75,AL-2022-16-2022,log_mean_dist_7,5,3
75,AL-2022-16-2022,residence_time,5,3
75,AL-2022-16-2022,dist_start,5,3
75,AL-2022-16-2022,breeding_abundance,5,3
75,PA-2020-25-2021,y,5,3
75,PA-2020-25-2021,julian_day,5,3
75,PA-2020-25-2021,log_mean_dist_7,5,3
75,PA-2020-25-2021,residence_time,5,3
75,PA-2020-25-2021,dist_start,5,3
75,PA-2020-25-2021,breeding_abundance,5,3
75,SC-2020-14-2020,y,1,1
75,SC-2020-14-2020,julian_day,1,1
75,SC-2020-14-2020,log_mean_dist_7,1,1
75,SC-2020-14-2020,residence_time,1,1
75,SC-2020-14-2020,dist_start,1,1
75,SC-2020-14-2020,breeding_abundance,1,1
75,MD-2021-19-2021,y,5,3
75,MD-2021-19-2021,julian_day,3,3
75,MD-2021-19-2021,log_mean_dist_7,5,3
75,MD-2021-19-2021,residence_time,3,3
75,MD-2021-19-2021,dist_start,5,3
75,MD-2021-19-2021,breeding_abundance,5,3
75,SC-2021-19-2021,y,5,4
75,SC-2021-19-2021,julian_day,5,4
75,SC-2021-19-2021,log_mean_dist_7,5,4
75,SC-2021-19-2021,residence_time,5,4
75,SC-2021-19-2021,dist_start,5,4
75,SC-2021-19-2021,breeding_abundance,5,4
75,SC-2019-05-2019,y,3,3
75,SC-2019-05-2019,julian_day,5,3
75,SC-2019-05-2019,log_mean_dist_7,3,3
75,SC-2019-05-2019,residence_time,5,3
75,SC-2019-05-2019,dist_start,5,3
75,SC-2019-05-2019,breeding_abundance,5,3
75,AL-2021-08-2021,y,4,3
75,AL-2021-08-2021,julian_day,3,3
75,AL-2021-08-2021,log_mean_dist_7,4,3
75,AL-2021-08-2021,residence_time,3,3
75,AL-2021-08-2021,dist_start,4,3
75,AL-2021-08-2021,breeding_abundance,4,3
75,MD-2021-21-2021,y,4,3
75,MD-2021-21-2021,julian_day,3,3
75,MD-2021-21-2021,log_mean_dist_7,4,3
75,MD-2021-21-2021,residence_time,3,3
75,MD-2021-21-2021,dist_start,4,3
75,MD-2021-21-2021,breeding_abundance,4,3
75,NC-2020-06-2020,y,4,3
75,NC-2020-06-2020,julian_day,3,3
75,NC-2020-06-2020,log_mean_dist_7,4,3
75,NC-2020-06-2020,residence_time,3,3
75,NC-2020-06-2020,dist_start,4,3
75,NC-2020-06-2020,breeding_abundance,4,3
75,VA-2020-52-2020,y,5,3
75,VA-2020-52-2020,julian_day,5,3
75,VA-2020-52-2020,log_mean_dist_7,5,3
75,VA-2020-52-2020,residence_time,5,3
75,VA-2020-52-2020,dist_start,5,3
75,VA-2020-52-2020,breeding_abundance,5,3
75,NC-2020-20-2020,y,1,1
75,NC-2020-20-2020,julian_day,1,1
75,NC-2020-20-2020,log_mean_dist_7,1,1
75,NC-2020-20-2020,residence_time,1,1
75,NC-2020-20-2020,dist_start,1,1
75,NC-2020-20-2020,breeding_abundance,1,1
75,GA-2020-08-2020,y,3,3
75,GA-2020-08-2020,julian_day,3,3
75,GA-2020-08-2020,log_mean_dist_7,3,3
75,GA-2020-08-2020,residence_time,3,3
75,GA-2020-08-2020,dist_start,3,3
75,GA-2020-08-2020,breeding_abundance,3,3
75,NJ-2018-03-2019,y,4,3
75,NJ-2018-03-2019,julian_day,3,3
75,NJ-2018-03-2019,log_mean_dist_7,4,3
75,NJ-2018-03-2019,residence_time,3,3
75,NJ-2018-03-2019,dist_start,4,3
75,NJ-2018-03-2019,breeding_abundance,4,3
75,NC-2019-03-2019,y,4,3
75,NC-2019-03-2019,julian_day,4,3
75,NC-2019-03-2019,log_mean_dist_7,3,3
75,NC-2019-03-2019,residence_time,4,3
75,NC-2019-03-2019,dist_start,4,3
75,NC-2019-03-2019,breeding_abundance,4,3
75,FL-2022-06-2022,y,4,3
75,FL-2022-06-2022,julian_day,4,3
75,FL-2022-06-2022,log_mean_dist_7,4,3
75,FL-2022-06-2022,residence_time,4,3
75,FL-2022-06-2022,dist_start,4,3
75,FL-2022-06-2022,breeding_abundance,4,3
75,MD-2020-12-2020,y,3,1
75,MD-2020-12-2020,julian_day,3,1
75,MD-2020-12-2020,log_mean_dist_7,3,1
75,MD-2020-12-2020,residence_time,3,1
75,MD-2020-12-2020,dist_start,1,1
75,MD-2020-12-2020,breeding_abundance,3,1
75,SC-2021-18-2021,y,3,3
75,SC-2021-18-2021,julian_day,3,3
75,SC-2021-18-2021,log_mean_dist_7,5,3
75,SC-2021-18-2021,residence_time,3,3
75,SC-2021-18-2021,dist_start,5,3
75,SC-2021-18-2021,breeding_abundance,5,3
75,NC-2020-11-2020,y,1,1
75,NC-2020-11-2020,julian_day,1,1
75,NC-2020-11-2020,log_mean_dist_7,1,1
75,NC-2020-11-2020,residence_time,1,1
75,NC-2020-11-2020,dist_start,1,1
75,NC-2020-11-2020,breeding_abundance,1,1
75,NC-2019-02-2019,y,4,3
75,NC-2019-02-2019,julian_day,4,3
75,NC-2019-02-2019,log_mean_dist_7,4,3
75,NC-2019-02-2019,residence_time,4,3
75,NC-2019-02-2019,dist_start,4,3
75,NC-2019-02-2019,breeding_abundance,4,3
75,AL-2022-19-2022,y,3,3
75,AL-2022-19-2022,julian_day,3,3
75,AL-2022-19-2022,log_mean_dist_7,4,3
75,AL-2022-19-2022,residence_time,3,3
75,AL-2022-19-2022,dist_start,4,3
75,AL-2022-19-2022,breeding_abundance,4,3
75,NC-2020-14-2020,y,3,3
75,NC-2020-14-2020,julian_day,3,3
75,NC-2020-14-2020,log_mean_dist_7,3,3
75,NC-2020-14-2020,residence_time,3,3
75,NC-2020-14-2020,dist_start,3,3
75,NC-2020-14-2020,breeding_abundance,3,3
75,NC-2020-07-2020,y,3,3
75,NC-2020-07-2020,julian_day,3,3
75,NC-2020-07-2020,log_mean_dist_7,3,3
75,NC-2020-07-2020,residence_time,3,3
75,NC-2020-07-2020,dist_start,3,3
75,NC-2020-07-2020,breeding_abundance,3,3
75,NC-2021-24-2021,y,4,3
75,NC-2021-24-2021,julian_day,3,3
75,NC-2021-24-2021,log_mean_dist_7,4,3
75,NC-2021-24-2021,residence_time,4,3
75,NC-2021-24-2021,dist_start,4,3
75,NC-2021-24-2021,breeding_abundance,4,3
75,QUE-2020-17-2021,y,5,3
75,QUE-2020-17-2021,julian_day,5,3
75,QUE-2020-17-2021,log_mean_dist_7,5,3
75,QUE-2020-17-2021,residence_time,5,3
75,QUE-2020-17-2021,dist_start,5,3
75,QUE-2020-17-2021,breeding_abundance,5,3
92,NC-2021-23-2021,y,4,4
92,NC-2021-23-2021,julian_day,3,4
92,NC-2021-23-2021,log_mean_dist_7,3,4
92,NC-2021-23-2021,residence_time,3,4
92,NC-2021-23-2021,dist_start,3,4
92,NC-2021-23-2021,breeding_abundance,3,4
92,VA-2019-11-2019,y,3,1
92,VA-2019-11-2019,julian_day,3,1
92,VA-2019-11-2019,log_mean_dist_7,4,1
92,VA-2019-11-2019,residence_time,4,1
92,VA-2019-11-2019,dist_start,1,1
92,VA-2019-11-2019,breeding_abundance,4,1
92,VA-2019-15-2019,y,4,4
92,VA-2019-15-2019,julian_day,4,4
92,VA-2019-15-2019,log_mean_dist_7,4,4
92,VA-2019-15-2019,residence_time,4,4
92,VA-2019-15-2019,dist_start,4,4
92,VA-2019-15-2019,breeding_abundance,4,4
92,NC-2021-25-2021,y,4,3
92,NC-2021-25-2021,julian_day,3,3
92,NC-2021-25-2021,log_mean_dist_7,4,3
92,NC-2021-25-2021,residence_time,4,3
92,NC-2021-25-2021,dist_start,4,3
92,NC-2021-25-2021,breeding_abundance,4,3
92,GA-2021-14-2021,y,4,4
92,GA-2021-14-2021,julian_day,3,4
92,GA-2021-14-2021,log_mean_dist_7,4,4
92,GA-2021-14-2021,residence_time,4,4
92,GA-2021-14-2021,dist_start,4,4
92,GA-2021-14-2021,breeding_abundance,4,4
92,VA-2020-71-2021,y,5,5
92,VA-2020-71-2021,julian_day,5,5
92,VA-2020-71-2021,log_mean_dist_7,5,5
92,VA-2020-71-2021,residence_time,5,5
92,VA-2020-71-2021,dist_start,5,5
92,VA-2020-71-2021,breeding_abundance,5,5
92,QUE-2019-08-2020,y,4,3
92,QUE-2019-08-2020,julian_day,4,3
92,QUE-2019-08-2020,log_mean_dist_7,4,3
92,QUE-2019-08-2020,residence_time,4,3
92,QUE-2019-08-2020,dist_start,4,3
92,QUE-2019-08-2020,breeding_abundance,4,3
92,NJ-2018-05-2019,y,2,2
92,NJ-2018-05-2019,julian_day,2,2
92,NJ-2018-05-2019,log_mean_dist_7,2,2
92,NJ-2018-05-2019,residence_time,2,2
92,NJ-2018-05-2019,dist_start,2,2
92,NJ-2018-05-2019,breeding_abundance,2,2
92,AL-2020-04-2020,y,4,4
92,AL-2020-04-2020,y,4,4
92,AL-2020-04-2020,julian_day,3,4
92,AL-2020-04-2020,julian_day,3,4
92,AL-2020-04-2020,log_mean_dist_7,4,4
92,AL-2020-04-2020,log_mean_dist_7,4,4
92,AL-2020-04-2020,residence_time,4,4
92,AL-2020-04-2020,residence_time,4,4
92,AL-2020-04-2020,dist_start,4,4
92,AL-2020-04-2020,dist_start,4,4
92,AL-2020-04-2020,breeding_abundance,4,4
92,AL-2020-04-2020,breeding_abundance,4,4
92,NC-2020-13-2020,y,4,4
92,NC-2020-13-2020,julian_day,3,4
92,NC-2020-13-2020,log_mean_dist_7,4,4
92,NC-2020-13-2020,residence_time,4,4
92,NC-2020-13-2020,dist_start,4,4
92,NC-2020-13-2020,breeding_abundance,3,4
92,SC-2021-22-2021,y,4,4
92,SC-2021-22-2021,julian_day,3,4
92,SC-2021-22-2021,log_mean_dist_7,4,4
92,SC-2021-22-2021,residence_time,4,4
92,SC-2021-22-2021,dist_start,4,4
92,SC-2021-22-2021,breeding_abundance,4,4
92,AL-2021-09-2021,y,2,2
92,AL-2021-09-2021,julian_day,2,2
92,AL-2021-09-2021,log_mean_dist_7,2,2
92,AL-2021-09-2021,residence_time,2,2
92,AL-2021-09-2021,dist_start,2,2
92,AL-2021-09-2021,breeding_abundance,2,2
92,NC-2021-26-2021,y,3,3
92,NC-2021-26-2021,julian_day,3,3
92,NC-2021-26-2021,log_mean_dist_7,3,3
92,NC-2021-26-2021,residence_time,3,3
92,NC-2021-26-2021,dist_start,3,3
92,NC-2021-26-2021,breeding_abundance,3,3
92,MD-2021-22-2021,y,4,4
92,MD-2021-22-2021,julian_day,3,4
92,MD-2021-22-2021,log_mean_dist_7,4,4
92,MD-2021-22-2021,residence_time,4,4
92,MD-2021-22-2021,dist_start,4,4
92,MD-2021-22-2021,breeding_abundance,4,4
