"burst","loc_id","long","lat","first_date","last_date","attempt_start","attempt_end","tot_vis","days_vis","consec_days","perc_days_vis","perc_top_vis"
"RI-2019-25",62,-71.6762238,41.4371452,2020-05-03,2020-05-13,2020-05-03,2020-05-13,5,5,5,45.45,100
"SC-2020-12",76,-69.5471725,48.2646408,2020-05-08,2020-05-31,2020-05-08,2020-05-28,15,15,15,62.5,100
"SC-2020-12",17,-85.9780731,38.0452461,2020-03-13,2020-04-02,2020-03-13,2020-04-02,11,11,11,52.38,100
"SC-2020-12",58,-71.6735382,45.7124977,2020-04-13,2020-04-26,2020-04-13,2020-04-26,9,9,9,64.29,100
"SC-2020-12",95,-67.4548111,49.4903412,2020-06-20,2020-07-17,2020-06-20,2020-07-10,5,5,5,17.86,100
"SC-2020-12",118,-67.4566498,49.4927483,2020-07-26,2020-08-27,2020-07-26,2020-08-15,5,5,5,15.15,100
"SC-2020-16",83,-70.8706436,45.6333427,2020-05-19,2020-06-24,2020-05-19,2020-06-08,17,17,17,45.95,100
"SC-2020-16",4,-81.3256607,32.5956993,2020-02-29,2020-03-20,2020-02-29,2020-03-20,9,9,9,42.86,100
"SC-2020-16",114,-70.8717728,45.6332397,2020-07-21,2020-08-30,2020-08-06,2020-08-26,8,8,8,19.51,100
"SC-2020-16",24,-81.3250198,32.5960083,2020-03-21,2020-03-29,2020-03-21,2020-03-29,6,6,6,66.67,100
"SC-2020-16",43,-80.9705353,37.4011002,2020-04-09,2020-04-15,2020-04-09,2020-04-15,5,5,5,71.43,100
"VA-2019-22",1,-87.015976,34.2821007,2020-01-02,2020-01-22,2020-01-02,2020-01-22,5,5,5,23.81,100
"VA-2019-29",26,-84.7328873,38.7425919,2020-04-03,2020-04-20,2020-04-03,2020-04-20,8,8,8,44.44,100
"VA-2019-33",7,-81.8831253,34.5459328,2020-02-13,2020-03-10,2020-02-13,2020-03-04,13,13,13,48.15,100
"VA-2019-33",42,-79.5721588,38.1713524,2020-04-17,2020-06-23,2020-04-19,2020-05-09,12,12,12,17.65,100
"VA-2019-34",24,-88.2250595,42.2453384,2020-03-18,2020-04-17,2020-03-26,2020-04-15,15,15,15,48.39,100
"VA-2019-34",50,-88.2302094,42.2592659,2020-05-02,2020-05-27,2020-05-02,2020-05-22,14,14,14,53.85,100
"VA-2019-34",6,-78.1907806,34.8881798,2020-02-10,2020-02-26,2020-02-10,2020-02-26,5,5,5,29.41,100
"VA-2019-36",42,-64.7036057,46.2063751,2020-04-20,2020-05-14,2020-04-20,2020-05-10,11,11,11,44,100
"VA-2019-36",17,-82.1741409,30.6718082,2020-01-14,2020-03-18,2020-02-27,2020-03-18,7,7,7,10.77,100
"VA-2019-46",8,-76.9890671,37.4247551,2020-02-14,2020-03-21,2020-02-25,2020-03-16,17,17,17,45.95,100
"VA-2019-46",34,-75.8198395,44.1970825,2020-04-03,2020-05-02,2020-04-03,2020-04-23,11,11,11,36.67,100
"VA-2019-46",56,-69.3841782,48.8885651,2020-05-27,2020-07-28,2020-07-08,2020-07-28,5,5,5,7.94,100
"VA-2019-46",62,-69.3841782,48.8888435,2020-05-20,2020-08-22,2020-05-20,2020-06-09,5,5,5,5.26,100
"VA-2019-47",47,-73.867485,46.1699982,2020-05-05,2020-05-21,2020-05-05,2020-05-21,8,8,8,47.06,100
"VA-2019-47",3,-77.0110855,37.4241676,2020-01-21,2020-02-28,2020-02-08,2020-02-28,6,6,6,15.38,100
"VA-2019-49",30,-65.169548,47.6782455,2020-04-15,2020-06-08,2020-04-15,2020-05-05,10,10,10,18.18,100
"VA-2019-49",18,-73.1369629,41.7066879,2020-03-16,2020-03-30,2020-03-16,2020-03-30,5,5,5,33.33,100
"VA-2019-49",37,-65.1699829,47.678093,2020-05-09,2020-08-27,2020-05-09,2020-05-29,5,5,5,4.5,100
"VA-2020-55",11,-76.787468,37.4591866,2020-01-27,2020-03-24,2020-01-27,2020-02-16,9,9,9,15.52,100
"AL-2021-10",14,-86.1818771,34.354599,2021-03-05,2021-03-23,2021-03-05,2021-03-23,10,10,10,52.63,100
"AL-2021-10",63,-78.2679138,43.0401649,2021-05-06,2021-08-24,2021-05-06,2021-05-26,10,10,10,9.01,100
"AL-2021-10",42,-78.2633591,43.0304146,2021-04-19,2021-05-04,2021-04-19,2021-05-04,5,5,5,31.25,100
"AL-2021-12",28,-79.9658356,41.2472954,2021-03-29,2021-04-13,2021-03-29,2021-04-13,9,9,9,56.25,100
"FL-2021-04",50,-80.170433,40.8692627,2021-04-28,2021-05-22,2021-05-02,2021-05-22,15,15,15,60,100
"FL-2021-04",42,-80.4629898,40.6590576,2021-04-10,2021-04-21,2021-04-10,2021-04-21,8,8,8,66.67,100
"FL-2021-04",14,-82.5392532,37.0787201,2021-03-02,2021-03-14,2021-03-02,2021-03-14,5,5,5,38.46,100
"GA-2021-17",50,-70.2912674,44.1894264,2021-04-25,2021-05-24,2021-05-04,2021-05-24,14,14,14,46.67,100
"GA-2021-17",2,-83.7254562,33.4565239,2021-02-10,2021-02-27,2021-02-10,2021-02-27,5,5,5,27.78,100
"GA-2021-17",27,-72.4809113,42.2168961,2021-03-25,2021-04-03,2021-03-25,2021-04-03,5,5,5,50,100
"GA-2021-18",45,-80.5321579,39.0438004,2021-03-16,2021-05-07,2021-04-01,2021-04-21,14,14,14,26.42,100
"GA-2021-18",10,-83.7409134,33.4345856,2021-02-20,2021-03-07,2021-02-20,2021-03-07,6,6,6,37.5,100
"GA-2021-18",53,-80.5355682,39.0290298,2021-04-27,2021-05-06,2021-04-27,2021-05-06,6,6,6,60,100
"GA-2021-18",71,-81.3954163,39.2083054,2021-05-19,2021-06-30,2021-05-19,2021-06-08,5,5,5,11.63,100
"GA-2021-19",5,-83.7357,33.4357,2021-02-18,2021-02-27,2021-02-18,2021-02-27,5,5,5,50,100
"GA-2021-20",23,-80.6649246,39.7539711,2021-03-13,2021-04-28,2021-03-18,2021-04-07,12,12,12,25.53,100
"GA-2021-20",12,-81.3818741,36.4762993,2021-02-27,2021-03-08,2021-02-27,2021-03-08,5,5,5,50,100
"GA-2021-21",57,-93.0533752,47.7464943,2021-04-27,2021-05-16,2021-04-27,2021-05-16,13,13,13,65,100
"GA-2021-21",22,-85.6999054,38.0368004,2021-03-11,2021-03-26,2021-03-11,2021-03-26,5,5,5,31.25,100
"GA-2021-22",14,-86.8594284,41.0213509,2021-03-20,2021-04-15,2021-03-20,2021-04-09,9,9,9,33.33,100
"MD-2021-24",23,-70.9450607,43.1209335,2021-03-28,2021-04-07,2021-03-28,2021-04-07,8,8,8,72.73,100
"NC-2021-21",17,-76.0003204,36.5630074,2021-02-27,2021-03-11,2021-02-27,2021-03-11,5,5,5,38.46,100
"NC-2021-28",65,-65.6811142,47.5544701,2021-05-16,2021-06-09,2021-05-19,2021-06-08,16,16,16,64,100
"NC-2021-28",17,-78.8241501,36.1100159,2021-03-07,2021-03-26,2021-03-07,2021-03-26,10,10,10,50,100
"NC-2021-28",49,-65.6860809,47.5538063,2021-05-01,2021-05-09,2021-05-01,2021-05-09,5,5,5,55.56,100
"NC-2021-30",38,-69.7063522,47.6679039,2021-04-30,2021-07-15,2021-05-04,2021-05-24,20,20,20,25.97,100
"NC-2021-30",29,-69.7040482,47.6686974,2021-04-13,2021-06-02,2021-04-13,2021-05-03,7,7,7,13.73,100
"NC-2021-30",2,-78.8227463,36.1257858,2021-03-05,2021-03-20,2021-03-05,2021-03-20,6,6,6,37.5,100
"RI-2020-31",2,-75.537674,38.3121529,2021-01-12,2021-02-04,2021-01-15,2021-02-04,7,7,7,29.17,100
"RI-2020-31",38,-71.7116318,41.6243324,2021-04-03,2021-04-27,2021-04-07,2021-04-27,6,6,6,24,100
"RI-2020-32",12,-82.3222427,28.5026684,2021-01-23,2021-02-12,2021-01-23,2021-02-12,5,5,5,23.81,100
"RI-2020-33",7,-77.7028961,38.0490608,2021-01-12,2021-02-26,2021-01-19,2021-02-08,10,10,10,21.74,100
"RI-2020-34",35,-72.9499512,41.2924271,2021-03-16,2021-04-07,2021-03-16,2021-04-05,11,11,11,47.83,100
"RI-2020-34",1,-80.0493164,36.5485954,2021-01-05,2021-02-08,2021-01-05,2021-01-25,5,5,5,14.29,100
"RI-2020-34",15,-80.0644455,36.5495949,2021-02-14,2021-03-06,2021-02-14,2021-03-06,5,5,5,23.81,100
"RI-2020-35",29,-78.1547165,36.3766403,2021-03-12,2021-03-24,2021-03-12,2021-03-24,7,7,7,53.85,100
"RI-2020-35",17,-78.153923,36.3719292,2021-01-05,2021-02-20,2021-01-31,2021-02-20,6,6,6,12.77,100
"RI-2020-35",42,-71.6719513,41.448513,2021-04-07,2021-04-21,2021-04-07,2021-04-21,6,6,6,40,100
"RI-2020-37",17,-75.6165466,38.2356606,2021-01-05,2021-04-11,2021-03-22,2021-04-11,6,6,6,6.19,100
"RI-2020-38",44,-70.9696884,41.9568787,2021-03-30,2021-04-13,2021-03-30,2021-04-13,8,8,8,53.33,100
"RI-2020-38",12,-76.8180618,37.3476486,2021-01-11,2021-01-27,2021-01-11,2021-01-27,7,7,7,41.18,100
"RI-2020-38",32,-70.9693604,41.9570313,2021-03-12,2021-03-24,2021-03-12,2021-03-24,6,6,6,46.15,100
"RI-2020-38",18,-76.8198242,37.3454475,2021-02-06,2021-02-24,2021-02-06,2021-02-24,5,5,5,26.32,100
"RI-2020-39",5,-75.1656036,39.2710266,2021-01-07,2021-02-24,2021-01-07,2021-01-27,13,13,13,26.53,100
"RI-2020-40",31,-77.092186,37.6942711,2021-02-22,2021-03-28,2021-02-26,2021-03-18,15,15,15,42.86,100
"RI-2020-40",15,-77.0965652,37.6623497,2021-01-11,2021-02-14,2021-01-11,2021-01-31,5,5,5,14.29,100
"RI-2020-41",27,-76.9588318,34.7703667,2021-01-29,2021-02-28,2021-02-08,2021-02-28,5,5,5,16.13,100
"RI-2020-42",9,-82.6721649,34.6562195,2021-01-11,2021-01-21,2021-01-11,2021-01-21,6,6,6,54.55,100
"RI-2020-42",25,-82.7152252,33.9514503,2021-01-27,2021-02-18,2021-01-27,2021-02-16,6,6,6,26.09,100
"RI-2020-43",45,-70.3771744,44.9328499,2021-04-05,2021-04-19,2021-04-05,2021-04-19,7,7,7,46.67,100
"RI-2020-44",43,-82.1613693,38.9304466,2021-03-10,2021-04-07,2021-03-10,2021-03-30,11,11,11,37.93,100
"RI-2020-45",32,-81.474678,40.5582733,2021-03-20,2021-04-05,2021-03-20,2021-04-05,9,9,9,52.94,100
"SC-2021-20",12,-81.8081894,36.7210617,2021-03-13,2021-04-27,2021-03-21,2021-04-10,5,5,5,10.87,100
"VA-2020-67",24,-78.4374924,39.6291466,2021-03-27,2021-04-18,2021-03-29,2021-04-18,11,11,11,47.83,100
"VA-2020-68",31,-80.2609787,39.6602249,2021-04-08,2021-04-30,2021-04-10,2021-04-30,9,9,9,39.13,100
"VA-2020-69",29,-79.7115555,38.2843018,2021-04-12,2021-04-30,2021-04-12,2021-04-30,9,9,9,47.37,100
"VA-2020-72",13,-81.1179886,34.7413368,2021-01-04,2021-03-07,2021-01-29,2021-02-18,10,10,10,15.87,100
"VA-2020-72",31,-71.4787445,46.7531891,2021-04-12,2021-05-02,2021-04-12,2021-05-02,9,9,9,42.86,100
"VA-2020-73",9,-77.7536621,38.4644241,2021-03-21,2021-04-30,2021-04-10,2021-04-30,6,6,6,14.63,100
"VA-2020-74",4,-77.7532272,38.4654961,2021-01-04,2021-03-13,2021-02-13,2021-03-05,6,6,6,8.7,100
"VA-2020-79",25,-75.6798,45.3047,2021-03-27,2021-04-20,2021-03-31,2021-04-20,8,8,8,32,100
"VA-2020-79",40,-75.6804504,45.3056641,2021-04-24,2021-05-08,2021-04-24,2021-05-08,6,6,6,40,100
"VA-2020-81",37,-72.8511353,44.6138763,2021-04-30,2021-05-17,2021-04-30,2021-05-17,6,6,6,33.33,100
"VA-2020-83",27,-75.1466904,43.0510483,2021-04-06,2021-04-26,2021-04-06,2021-04-26,7,7,7,33.33,100
"VA-2020-83",59,-75.1819153,43.0776443,2021-05-18,2021-07-09,2021-05-18,2021-06-07,7,7,7,13.21,100
"VA-2020-83",1,-77.0104218,37.4314384,2021-01-04,2021-03-19,2021-02-27,2021-03-19,6,6,6,8,100
"VA-2020-84",40,-68.4109421,48.2052231,2021-04-14,2021-05-05,2021-04-14,2021-05-04,9,9,9,40.91,100
"VA-2020-84",52,-66.1440887,49.1782799,2021-05-24,2021-06-14,2021-05-24,2021-06-13,8,8,8,36.36,100
"VT-2020-17",12,-77.9198074,36.4228745,2021-01-29,2021-02-28,2021-02-05,2021-02-25,7,7,7,22.58,100
"VT-2020-17",18,-77.9244385,36.4223633,2021-03-03,2021-03-16,2021-03-03,2021-03-16,5,5,5,35.71,100
"AL-2022-15",49,-67.4047623,48.2045822,2022-05-12,2022-06-15,2022-05-12,2022-06-01,9,9,9,25.71,100
"AL-2022-15",3,-87.1450729,32.0920448,2022-02-13,2022-03-03,2022-02-13,2022-03-03,7,7,7,36.84,100
"AL-2022-15",14,-87.3857651,37.734539,2022-03-11,2022-03-23,2022-03-11,2022-03-23,6,6,6,46.15,100
"LA-2022-10",16,-93.7598877,32.6161537,2022-01-22,2022-02-28,2022-02-04,2022-02-24,28,18,13,47.37,80
"LA-2022-11",65,-92.063652,32.3678093,2022-02-14,2022-02-25,2022-02-14,2022-02-25,6,6,6,50,100
"LA-2022-12",42,-92.0461197,32.3667068,2022-01-22,2022-02-20,2022-01-27,2022-02-16,19,11,10,36.67,100
"LA-2022-12",97,-82.6545563,41.3659248,2022-03-24,2022-04-09,2022-03-24,2022-04-09,8,8,8,47.06,100
"LA-2022-13",21,-92.0363617,32.3427467,2022-01-23,2022-02-10,2022-01-31,2022-02-10,11,10,5,52.63,50
"LA-2022-14",31,-94.0110703,34.3277435,2022-01-23,2022-01-31,2022-01-23,2022-01-31,16,7,5,77.78,100
"LA-2022-15",79,-93.755661,32.6181259,2022-01-15,2022-01-27,2022-01-15,2022-01-27,26,13,13,100,60
"LA-2022-15",98,-93.7647476,32.621479,2022-02-06,2022-03-08,2022-02-06,2022-02-26,10,10,10,32.26,100
"LA-2022-16",74,-92.0436096,32.3480949,2022-02-26,2022-03-16,2022-02-26,2022-03-16,6,6,6,31.58,100
"LA-2022-16",91,-92.0455017,32.3454323,2022-03-17,2022-03-21,2022-03-17,2022-03-21,5,5,5,100,100
"NC-2022-31",53,-80.1823578,47.5531921,2022-05-12,2022-06-22,2022-05-12,2022-06-01,13,13,13,30.95,100
"NC-2022-31",2,-75.9974518,36.5449104,2022-02-04,2022-03-05,2022-02-13,2022-03-05,10,10,10,33.33,100
"NC-2022-34",8,-76.0053101,36.5430908,2022-02-15,2022-03-15,2022-02-15,2022-03-07,7,7,7,24.14,100
"NC-2022-34",28,-64.7935104,46.0483971,2022-05-08,2022-06-01,2022-05-08,2022-05-28,7,7,7,28,100
"NC-2022-35",4,-75.9943542,36.5546608,2022-02-13,2022-03-15,2022-02-13,2022-03-05,7,7,7,22.58,100
"NC-2022-35",38,-63.8448257,45.5833969,2022-05-08,2022-05-20,2022-05-08,2022-05-20,7,7,7,53.85,100
"NC-2022-35",57,-63.8494606,45.5895424,2022-05-26,2022-08-03,2022-05-26,2022-06-15,6,6,6,8.57,100
"NC-2022-35",29,-63.8548851,45.5870857,2022-04-14,2022-04-26,2022-04-14,2022-04-26,5,5,5,38.46,100
"NC-2022-37",6,-78.8396149,36.0821114,2022-02-25,2022-04-06,2022-02-25,2022-03-17,9,9,9,21.95,100
"NC-2022-37",47,-71.5924072,48.9489288,2022-06-09,2022-08-31,2022-06-09,2022-06-29,9,9,9,10.71,100
"NC-2022-37",34,-71.9827347,49.3561478,2022-05-06,2022-05-30,2022-05-06,2022-05-26,8,8,8,32,100
"NC-2022-37",13,-78.8383102,36.0814209,2022-03-19,2022-04-02,2022-03-19,2022-04-02,6,6,6,40,100
"NC-2022-38",29,-69.3038177,47.6841583,2022-05-04,2022-05-22,2022-05-04,2022-05-22,6,6,6,31.58,100
"NC-2022-38",7,-78.8035965,36.0929909,2022-03-01,2022-03-13,2022-03-01,2022-03-13,5,5,5,38.46,100
"NC-2022-38",45,-69.3030243,47.6846733,2022-05-28,2022-06-22,2022-05-28,2022-06-17,5,5,5,19.23,100
"NC-2022-39",33,-77.7283936,43.2562294,2022-04-24,2022-05-14,2022-04-24,2022-05-14,11,11,11,52.38,100
"NC-2022-39",46,-76.3729019,43.2205429,2022-05-26,2022-06-09,2022-05-26,2022-06-09,7,7,7,46.67,100
"NC-2022-39",19,-78.0417404,38.60215,2022-03-23,2022-03-31,2022-03-23,2022-03-31,5,5,5,55.56,100
"NC-2022-39",24,-78.2078094,43.1203461,2022-04-10,2022-04-18,2022-04-10,2022-04-18,5,5,5,55.56,100
"NC-2022-45",49,-71.7890167,43.3865585,2022-06-03,2022-08-03,2022-06-03,2022-06-23,12,12,12,19.35,100
"NC-2022-45",34,-71.7040024,43.4092674,2022-05-06,2022-05-22,2022-05-06,2022-05-22,8,8,8,47.06,100
"NC-2022-45",24,-71.9645844,43.2433548,2022-04-12,2022-04-26,2022-04-12,2022-04-26,7,7,7,46.67,100
"NC-2022-45",2,-78.8276367,36.0929413,2022-02-25,2022-03-13,2022-02-25,2022-03-13,5,5,5,29.41,100
"NY-2022-39",21,-75.8083725,42.595211,2022-05-25,2022-08-03,2022-06-27,2022-07-17,10,10,10,14.08,100
"NY-2022-40",18,-72.4964981,48.011097,2022-06-05,2022-07-11,2022-06-15,2022-07-05,5,5,5,13.51,100
"NY-2022-41",37,-74.4861832,42.5598068,2022-05-06,2022-08-29,2022-08-07,2022-08-27,15,15,15,12.93,100
"NY-2022-41",9,-74.4858246,42.5583725,2022-05-12,2022-06-05,2022-05-16,2022-06-05,8,8,8,32,100
"NY-2022-42",43,-76.0762787,43.4284668,2022-06-11,2022-08-31,2022-06-19,2022-07-09,10,10,10,12.2,100
"NY-2022-42",3,-76.0662689,43.2704659,2022-05-10,2022-05-25,2022-05-10,2022-05-25,5,5,5,31.25,100
"NY-2022-43",1,-78.4537506,43.1022224,2022-04-30,2022-05-29,2022-05-05,2022-05-25,9,9,9,30,100
"NY-2022-43",26,-78.4513626,43.0990982,2022-06-20,2022-08-27,2022-08-07,2022-08-27,9,9,9,13.04,100
"NY-2022-44",8,-74.705574,42.6173325,2022-05-15,2022-06-15,2022-05-26,2022-06-15,8,8,8,25,100
"NY-2022-44",24,-74.7065964,42.5977974,2022-06-22,2022-08-31,2022-06-22,2022-07-12,7,7,7,9.86,100
"NY-2022-45",4,-76.0791702,43.2744064,2022-05-12,2022-06-15,2022-05-12,2022-06-01,10,10,10,28.57,100
"NY-2022-45",15,-76.0793228,43.2742004,2022-06-03,2022-08-29,2022-06-03,2022-06-23,6,6,6,6.82,100
"NY-2022-45",23,-76.080246,43.2745361,2022-06-28,2022-08-03,2022-06-28,2022-07-18,5,5,5,13.51,100
"NY-2022-47",26,-76.0511627,43.2635765,2022-07-11,2022-08-20,2022-07-11,2022-07-31,8,8,8,19.51,100
"NY-2022-47",11,-76.0536957,43.2632446,2022-05-27,2022-08-16,2022-05-27,2022-06-16,6,6,6,7.32,100
"NY-2022-47",32,-76.0531845,43.2625542,2022-06-26,2022-08-27,2022-08-07,2022-08-27,6,6,6,9.52,100
"PA-2021-36",2,-87.5944824,32.8219528,2022-01-01,2022-02-06,2022-01-01,2022-01-21,7,7,7,18.92,100
"QUE-2021-25",1,-86.2321777,32.8587646,2022-01-01,2022-05-11,2022-03-02,2022-03-22,10,10,10,7.63,100
"RI-2021-46",9,-79.3988724,36.7211647,2022-01-07,2022-02-28,2022-01-07,2022-01-27,14,14,14,26.42,100
"RI-2021-49",1,-95.5211105,35.4478455,2022-01-01,2022-03-20,2022-01-01,2022-01-21,9,9,9,11.39,100
"RI-2021-50",21,-77.2278366,36.8594818,2022-01-05,2022-03-02,2022-01-05,2022-01-25,15,15,15,26.32,100
"RI-2021-53",10,-75.4363251,38.544651,2022-01-21,2022-02-10,2022-01-21,2022-02-10,5,5,5,23.81,100
"RI-2021-57",41,-71.3458023,41.7843857,2022-04-01,2022-04-11,2022-04-01,2022-04-11,6,6,6,54.55,100
"RI-2021-58",1,-76.5684357,37.8576775,2022-02-04,2022-03-06,2022-02-04,2022-02-24,8,8,8,25.81,100
"RI-2021-59",23,-85.3562469,38.2838669,2022-02-18,2022-03-16,2022-02-24,2022-03-16,7,7,7,25.93,100
"SC-2022-25",39,-73.7957993,43.0275459,2022-07-13,2022-08-24,2022-07-13,2022-08-02,6,6,6,13.95,100
"SC-2022-25",15,-73.7983856,43.0279541,2022-04-18,2022-05-12,2022-04-18,2022-05-08,5,5,5,20,100
"SC-2022-25",23,-73.7967453,43.0276222,2022-05-24,2022-06-05,2022-05-24,2022-06-05,5,5,5,38.46,100
"VA-2021-96",41,-72.8641891,43.7868423,2022-05-01,2022-05-25,2022-05-01,2022-05-21,8,8,8,32,100
"VA-2021-97",14,-76.7695236,37.4545288,2022-01-14,2022-03-13,2022-02-21,2022-03-13,7,7,7,11.86,100
"VA-2021-98",36,-66.0225906,47.6290436,2022-04-26,2022-05-21,2022-04-26,2022-05-16,14,14,14,53.85,100
"VA-2022-100",30,-77.0161285,37.4286728,2022-02-13,2022-04-22,2022-03-21,2022-04-10,13,13,13,18.84,100
"VA-2022-100",48,-76.6190491,44.3005066,2022-05-13,2022-06-01,2022-05-13,2022-06-01,9,9,9,45,100
"VT-2021-23",1,-85.7428131,30.137331,2022-01-15,2022-03-05,2022-01-15,2022-02-04,5,5,5,10,100
